trade_id,strategy_name,symbol,direction,entry_time,exit_time,entry_price,exit_price,pnl_R,pnl_usd,exit_reason,session,regime,regime_snapshot_id,structure_state,volatility_state,orderflow_state,macro_state,oi_state,cvd_state,funding_state,coinbase_premium_state,etf_flow_state,setup_type,original_regime_snapshot_id,original_oi_state,original_funding_state,original_orderflow_state,original_etf_flow_state,original_macro_state
T0165,ATR_ETH_3m,ETHUSDT,long,2025-09-23 14:09:00,2025-09-23 14:21:00,4203.1703,4183.59,-1.175,-38.6884,SL,overlap,range,range_W39_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W39_2025,unknown,unknown,unknown,unknown,unknown
T0166,BAW_ETH_5m,ETHUSDT,short,2025-09-23 19:20:00,2025-09-23 19:50:00,4167.9432,4140.5179,2.635,45.6003,TP2,NY,trend_down,trend_down_20250923,trend_down,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W39_2025,unknown,unknown,unknown,unknown,unknown
T0167,ATR_ETH_3m,ETHUSDT,long,2025-09-24 14:42:00,2025-09-24 14:51:00,4179.8379,4197.33,1.154,27.1502,TP2,overlap,range,range_W39_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W39_2025,unknown,unknown,unknown,unknown,unknown
T0168,ATR_ETH_3m,ETHUSDT,short,2025-09-25 03:24:00,2025-09-25 04:42:00,4038.8461,4037.23,-0.005,-0.749,SL,Asia,trend_down,trend_down_20250925,trend_down,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W39_2025,unknown,unknown,unknown,unknown,unknown
T0169,BTP_ETH_30m,ETHUSDT,short,2025-09-26 18:00:00,2025-09-27 04:00:00,4051.9148,4024.65,0.773,46.7165,TIME,NY,trend_down,trend_down_20250926,trend_down,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W39_2025,unknown,unknown,unknown,unknown,unknown
T0170,BAW_ETH_5m,ETHUSDT,short,2025-09-27 13:00:00,2025-09-27 14:00:00,4022.2377,4014.99,0.625,9.7644,TIME,weekend,trend_down,trend_down_20250927,trend_down,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W39_2025,unknown,unknown,unknown,unknown,unknown
T0171,BTP_ETH_30m,ETHUSDT,short,2025-09-27 22:30:00,2025-09-28 01:00:00,4020.5979,4006.3562,0.617,28.2519,TP2,weekend,trend_down,trend_down_20250927,trend_down,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_down_W39_2025,unknown,unknown,unknown,unknown,unknown
T0172,BAW_ETH_5m,ETHUSDT,short,2025-09-28 22:10:00,2025-09-28 22:15:00,4086.5513,4108.3843,-1.347,-43.8198,EXT,weekend,range,range_W39_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W39_2025,unknown,unknown,unknown,unknown,unknown
T0173,BTP_ETH_30m,ETHUSDT,short,2025-09-29 10:00:00,2025-09-29 13:30:00,4130.7169,4155.9168,-1.082,-49.5046,SL,London,range,range_W40_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0174,ATR_ETH_3m,ETHUSDT,long,2025-09-29 13:36:00,2025-09-29 13:45:00,4116.2216,4150.03,2.199,57.1859,TP2,overlap,range,range_W40_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0175,BTP_ETH_30m,ETHUSDT,short,2025-09-29 15:00:00,2025-09-29 20:30:00,4168.6931,4215.644,-1.044,-88.2205,SL,overlap,range,range_W40_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0176,BTP_ETH_30m,ETHUSDT,short,2025-09-30 21:00:00,2025-10-01 07:00:00,4173.0727,4138.85,0.815,57.7562,TIME,Asia,range,range_W40_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0177,BAW_ETH_5m,ETHUSDT,long,2025-10-02 15:05:00,2025-10-02 15:50:00,4372.1572,4434.1238,1.815,102.5476,TP2,overlap,range,range_W40_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0178,ATR_ETH_3m,ETHUSDT,long,2025-10-02 15:21:00,2025-10-02 18:21:00,4413.0513,4475.83,1.68,96.7107,TP2,overlap,range,range_W40_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0179,ATR_ETH_3m,ETHUSDT,long,2025-10-03 15:30:00,2025-10-03 16:00:00,4494.6394,4547.67,1.528,80.6966,TP2,overlap,trend_up,trend_up_20251003,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W40_2025,unknown,unknown,unknown,unknown,unknown
T0180,ATR_ETH_3m,ETHUSDT,short,2025-10-04 14:48:00,2025-10-04 15:30:00,4479.952,4448.0,1.543,47.289,TP2,weekend,range,range_W40_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0181,BTP_ETH_30m,ETHUSDT,long,2025-10-04 16:00:00,2025-10-04 20:00:00,4451.8751,4481.5294,0.911,41.6607,TP2,weekend,range,range_W40_2025,range,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0182,BAW_ETH_5m,ETHUSDT,short,2025-10-05 05:05:00,2025-10-05 06:05:00,4567.0832,4568.99,-0.25,-6.8812,TIME,weekend,trend_up,trend_up_20251005,trend_up,medium,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W40_2025,unknown,unknown,unknown,unknown,unknown
T0183,BTP_ETH_30m,ETHUSDT,long,2025-10-05 20:30:00,2025-10-05 23:00:00,4496.9897,4520.3119,0.471,28.8198,TP2,weekend,range,range_W40_2025,range,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W40_2025,unknown,unknown,unknown,unknown,unknown
T0184,BAW_ETH_5m,ETHUSDT,short,2025-10-06 00:20:00,2025-10-06 00:50:00,4526.5573,4489.821,1.469,57.1179,TP2,Asia,trend_up,trend_up_20251006,trend_up,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W41_2025,unknown,unknown,unknown,unknown,unknown
T0185,ATR_ETH_3m,ETHUSDT,short,2025-10-06 00:51:00,2025-10-06 01:24:00,4496.7403,4528.72,-1.593,-57.0882,SL,Asia,trend_up,trend_up_20251006,trend_up,low,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W41_2025,unknown,unknown,unknown,unknown,unknown
T0186,BAW_ETH_5m,ETHUSDT,short,2025-10-06 13:40:00,2025-10-06 13:50:00,4604.1395,4630.7161,-1.316,-47.0424,EXT,overlap,trend_up,trend_up_20251006,trend_up,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,trend_up_W41_2025,unknown,unknown,unknown,unknown,unknown
T0187,BAW_ETH_5m,ETHUSDT,long,2025-10-07 21:55:00,2025-10-07 22:55:00,4491.7091,4495.67,0.208,2.8636,TIME,Asia,range,range_W41_2025,range,high,unknown,neutral,unknown,unknown,unknown,unknown,unknown,unknown,range_W41_2025,unknown,unknown,unknown,unknown,unknown
