Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
38,Exit short,2025-04-10 00:30,TIME,1670.54,11.6636,18983.67536,-520.07,-2.74,47.19,0.25,-713.97,-3.76,-1023.48,-10.23
38,Entry short,2025-04-09 20:30,Short-C,1627.6,11.6636,18983.67536,-520.07,-2.74,47.19,0.25,-713.97,-3.76,-1023.48,-10.23
39,Exit short,2025-04-11 15:00,TP1,1551.49,6.9061,10766.2646,40.78,0.38,46.14,0.43,-102.41,-0.95,-986.29,-9.86
39,Entry short,2025-04-11 13:00,Short-A,1558.95,6.9061,10766.2646,40.78,0.38,46.14,0.43,-102.41,-0.95,-986.29,-9.86
40,Exit short,2025-04-11 15:30,TP2,1553.73,4.6041,7177.561695,16.87,0.23,44.06,0.61,-68.28,-0.95,-965.83,-9.66
40,Entry short,2025-04-11 13:00,Short-A,1558.95,4.6041,7177.561695,16.87,0.23,44.06,0.61,-68.28,-0.95,-965.83,-9.66
41,Exit short,2025-04-11 17:00,TIME,1560.5,0.0001,0.155895,-0.0003,-0.20,0.002,1.14,-0.002,-1.45,-965.83,-9.66
41,Entry short,2025-04-11 13:00,Short-A,1558.95,0.0001,0.155895,-0.0003,-0.20,0.002,1.14,-0.002,-1.45,-965.83,-9.66
42,Exit short,2025-04-12 00:00,TIME,1571.99,11.4815,18059.25135,-7.61,-0.04,135.06,0.75,-163,-0.90,-973.44,-9.73
42,Entry short,2025-04-11 20:00,Short-A,1572.9,11.4815,18059.25135,-7.61,-0.04,135.06,0.75,-163,-0.90,-973.44,-9.73
43,Exit short,2025-04-12 14:30,TIME,1606.37,11.3416,18044.03194,-192.91,-1.07,38.16,0.21,-293.02,-1.62,-1166.35,-11.66
43,Entry short,2025-04-12 10:30,Short-C,1590.96,11.3416,18044.03194,-192.91,-1.07,38.16,0.21,-293.02,-1.62,-1166.35,-11.66
44,Exit short,2025-04-19 10:30,TIME,1602.18,11.017,17658.37811,-10.49,-0.06,84.93,0.48,-36.15,-0.20,-1176.84,-11.77
44,Entry short,2025-04-19 06:30,Short-C,1602.83,11.017,17658.37811,-10.49,-0.06,84.93,0.48,-36.15,-0.20,-1176.84,-11.77
45,Exit long,2025-05-03 12:30,TIME,1818.61,9.6566,17637.39364,-93.4,-0.53,25.27,0.14,-107.61,-0.61,-1270.24,-12.70
45,Entry long,2025-05-03 08:30,Long-A,1826.46,9.6566,17637.39364,-93.4,-0.53,25.27,0.14,-107.61,-0.61,-1270.24,-12.70
46,Exit long,2025-05-12 18:30,TP1,2507.88,4.1928,10470.1763,34.37,0.33,39.63,0.38,-32.74,-0.31,-1239.36,-12.39
46,Entry long,2025-05-12 18:00,Long-A,2497.18,4.1928,10470.1763,34.37,0.33,39.63,0.38,-32.74,-0.31,-1239.36,-12.39
47,Exit long,2025-05-12 19:00,BE,2497.18,2.7952,6980.117536,-6.98,-0.10,37.77,0.54,-21.83,-0.31,-1242.85,-12.43
47,Entry long,2025-05-12 18:00,Long-A,2497.18,2.7952,6980.117536,-6.98,-0.10,37.77,0.54,-21.83,-0.31,-1242.85,-12.43
48,Exit long,2025-05-13 15:00,TIME,2543.19,0.0001,0.249718,0.004,1.74,0.01,2.06,-0.01,-3.68,-1242.85,-12.43
48,Entry long,2025-05-12 18:00,Long-A,2497.18,0.0001,0.249718,0.004,1.74,0.01,2.06,-0.01,-3.68,-1242.85,-12.43
49,Exit long,2025-05-14 17:30,TP1,2596.26,4.0673,10503.15148,46.09,0.44,51.37,0.49,-98.8,-0.94,-1200.26,-12.00
49,Entry long,2025-05-14 16:30,Long-A,2582.34,4.0673,10503.15148,46.09,0.44,51.37,0.49,-98.8,-0.94,-1200.26,-12.00
50,Exit long,2025-05-14 18:00,BE,2582.34,2.7115,7002.01491,-7,-0.10,44.38,0.63,-65.87,-0.94,-1203.77,-12.04
50,Entry long,2025-05-14 16:30,Long-A,2582.34,2.7115,7002.01491,-7,-0.10,44.38,0.63,-65.87,-0.94,-1203.77,-12.04
51,Exit long,2025-05-14 20:30,TIME,2612.49,0.0001,0.258234,0.003,1.07,0.003,1.16,-0.004,-1.50,-1203.76,-12.04
51,Entry long,2025-05-14 16:30,Long-A,2582.34,0.0001,0.258234,0.003,1.07,0.003,1.16,-0.004,-1.50,-1203.76,-12.04
52,Exit long,2025-05-15 14:00,TIME,2549.79,6.9029,17583.55008,-0.2,0.00,123.19,0.70,-226.85,-1.29,-1203.96,-12.04
52,Entry long,2025-05-15 10:00,Long-A,2547.27,6.9029,17583.55008,-0.2,0.00,123.19,0.70,-226.85,-1.29,-1203.96,-12.04
53,Exit long,2025-05-15 18:30,TP1,2573.8,4.1658,10549.84684,161.45,1.53,166.81,1.58,-14.86,-0.14,-1046.02,-10.46
53,Entry long,2025-05-15 17:00,Long-A,2532.49,4.1658,10549.84684,161.45,1.53,166.81,1.58,-14.86,-0.14,-1046.02,-10.46
54,Exit long,2025-05-15 18:30,TP2,2598.27,2.7772,7033.231228,175.56,2.49,180.83,2.57,-9.9,-0.14,-866.95,-8.67
54,Entry long,2025-05-15 17:00,Long-A,2532.49,2.7772,7033.231228,175.56,2.49,180.83,2.57,-9.9,-0.14,-866.95,-8.67
55,Exit long,2025-05-17 02:00,SL,2500.94,4.2924,10954.11895,-229.93,-2.10,15.98,0.15,-224.56,-2.05,-1100.53,-11.01
55,Entry long,2025-05-17 01:00,Long-A,2551.98,4.2924,10954.11895,-229.93,-2.10,15.98,0.15,-224.56,-2.05,-1100.53,-11.01
56,Exit long,2025-05-17 02:00,SL,2500.94,2.8616,7302.745968,-153.29,-2.10,10.66,0.15,-149.71,-2.05,-1250.16,-12.50
56,Entry long,2025-05-17 01:00,Long-A,2551.98,2.8616,7302.745968,-153.29,-2.10,10.66,0.15,-149.71,-2.05,-1250.16,-12.50
57,Exit long,2025-05-20 21:30,TP1,2494.62,4.2325,10494.3991,53.55,0.51,58.83,0.56,-7.96,-0.08,-1200.11,-12.00
57,Entry long,2025-05-20 21:00,Long-C,2479.48,4.2325,10494.3991,53.55,0.51,58.83,0.56,-7.96,-0.08,-1200.11,-12.00
58,Exit long,2025-05-20 21:30,TP2,2500.25,2.8216,6996.100768,51.58,0.74,85.58,1.22,-5.3,-0.08,-1145.03,-11.45
58,Entry long,2025-05-20 21:00,Long-C,2479.48,2.8216,6996.100768,51.58,0.74,85.58,1.22,-5.3,-0.08,-1145.03,-11.45
59,Exit long,2025-05-21 01:00,TIME,2527.7,0.0001,0.247948,0.005,1.84,0.01,2.41,-0.0002,-0.08,-1145.02,-11.45
59,Entry long,2025-05-20 21:00,Long-C,2479.48,0.0001,0.247948,0.005,1.84,0.01,2.41,-0.0002,-0.08,-1145.02,-11.45
60,Exit long,2025-05-25 02:30,SL,2488.4,4.1826,10620.41609,-222.95,-2.10,0,0.00,-217.74,-2.05,-1371.51,-13.72
60,Entry long,2025-05-24 23:30,Long-C,2539.19,4.1826,10620.41609,-222.95,-2.10,0,0.00,-217.74,-2.05,-1371.51,-13.72
61,Exit long,2025-05-25 02:30,SL,2488.4,2.7884,7080.277396,-148.63,-2.10,0,0.00,-145.16,-2.05,-1516.6,-15.17
61,Entry long,2025-05-24 23:30,Long-C,2539.19,2.7884,7080.277396,-148.63,-2.10,0,0.00,-145.16,-2.05,-1516.6,-15.17
62,Exit long,2025-05-25 02:30,SL,2485.58,0.0001,0.253919,-0.01,-2.21,0,0.00,-0.01,-2.64,-1516.61,-15.17
62,Entry long,2025-05-24 23:30,Long-C,2539.19,0.0001,0.253919,-0.01,-2.21,0,0.00,-0.01,-2.64,-1516.61,-15.17
63,Exit long,2025-05-29 21:00,TIME,2642.53,6.3743,16958.18772,-130.81,-0.77,70.88,0.42,-219.21,-1.29,-1647.42,-16.47
