Trade #,Type,Date and time,Signal,Price USDT,Size (qty),Size (value),Net P&L USDT,Net P&L %,Favorable excursion USDT,Favorable excursion %,Adverse excursion USDT,Adverse excursion %,Cumulative P&L USDT,Cumulative P&L %
219,Entry short,2026-02-17 15:36,IMP_S,1973.87,0.7309,1442.701583,8.72,0.60,14.94,1.04,-5.13,-0.36,4433.38,44.33
220,Exit short,2026-02-17 15:45,TP2,1950.83,6.5788,12985.69596,143.83,1.11,170.25,1.31,-46.2,-0.36,4581.1,45.81
220,Entry short,2026-02-17 15:36,IMP_S,1973.87,6.5788,12985.69596,143.83,1.11,170.25,1.31,-46.2,-0.36,4581.1,45.81
221,Exit long,2026-02-20 06:33,TP1,1960.75,0.7469,1457.956269,5.65,0.39,9.15,0.63,-0.44,-0.03,4582.82,45.83
221,Entry long,2026-02-20 06:30,IMP_L,1952.01,0.7469,1457.956269,5.65,0.39,9.15,0.63,-0.44,-0.03,4582.82,45.83
222,Exit long,2026-02-20 10:09,TP2,1966.89,6.7228,13122.97283,92.13,0.70,124.87,0.95,-28.81,-0.22,4678.89,46.79
222,Entry long,2026-02-20 06:30,IMP_L,1952.01,6.7228,13122.97283,92.13,0.70,124.87,0.95,-28.81,-0.22,4678.89,46.79
223,Exit long,2026-02-21 14:45,TP1,1979.34,0.7433,1467.742479,2.62,0.18,3.09,0.21,-2.83,-0.19,4677.54,46.78
223,Entry long,2026-02-21 13:51,IMP_L,1974.63,0.7433,1467.742479,2.62,0.18,3.09,0.21,-2.83,-0.19,4677.54,46.78
224,Exit long,2026-02-21 15:03,TP2,1981.53,6.6904,13211.06455,38.22,0.29,61.2,0.46,-25.51,-0.19,4719.73,47.20
224,Entry long,2026-02-21 13:51,IMP_L,1974.63,6.6904,13211.06455,38.22,0.29,61.2,0.46,-25.51,-0.19,4719.73,47.20
225,Exit short,2026-02-23 01:42,TP1,1940.17,0.7563,1471.964001,3.73,0.25,4.88,0.33,-1.58,-0.11,4719.49,47.19
225,Entry short,2026-02-23 01:24,IMP_S,1946.27,0.7563,1471.964001,3.73,0.25,4.88,0.33,-1.58,-0.11,4719.49,47.19
226,Exit short,2026-02-23 01:57,TP2,1928.14,6.8067,13247.67601,115.49,0.87,127.19,0.96,-14.18,-0.11,4838.95,48.39
226,Entry short,2026-02-23 01:24,IMP_S,1946.27,6.8067,13247.67601,115.49,0.87,127.19,0.96,-14.18,-0.11,4838.95,48.39
227,Exit short,2026-02-23 06:18,SL,1865.08,7.8839,14838.9189,125.95,0.85,292.93,1.97,-65.63,-0.44,4964.91,49.65
227,Entry short,2026-02-23 02:06,DLY_S,1882.18,7.8839,14838.9189,125.95,0.85,292.93,1.97,-65.63,-0.44,4964.91,49.65
228,Exit long,2026-02-26 15:30,SL,2063,7.2329,14964.79777,-52.29,-0.35,8.31,0.06,-125.28,-0.84,4912.61,49.13
228,Entry long,2026-02-26 15:21,IMP_L,2068.99,7.2329,14964.79777,-52.29,-0.35,8.31,0.06,-125.28,-0.84,4912.61,49.13
229,Exit short,2026-03-07 15:39,SL,1983.96,7.5472,14912.51248,-69.8,-0.47,46.09,0.31,-90.36,-0.61,4842.82,48.43
229,Entry short,2026-03-07 15:00,IMP_S,1975.9,7.5472,14912.51248,-69.8,-0.47,46.09,0.31,-90.36,-0.61,4842.82,48.43
230,Exit long,2026-03-10 15:51,TP1,2065.43,0.7233,1484.218833,8.81,0.59,10.4,0.70,-0.45,-0.03,4847.62,48.48
230,Entry long,2026-03-10 15:48,IMP_L,2052.01,0.7233,1484.218833,8.81,0.59,10.4,0.70,-0.45,-0.03,4847.62,48.48
231,Exit long,2026-03-10 15:54,TP2,2075.65,6.51,13358.5851,145.84,1.09,171.7,1.28,-4.07,-0.03,4997.47,49.97
231,Entry long,2026-03-10 15:48,IMP_L,2052.01,6.51,13358.5851,145.84,1.09,171.7,1.28,-4.07,-0.03,4997.47,49.97
232,Exit long,2026-03-15 03:48,TP1,2102.89,0.7156,1499.5398,4.39,0.29,7.78,0.52,-5.34,-0.36,4997.8,49.98
232,Entry long,2026-03-15 03:00,IMP_L,2095.5,0.7156,1499.5398,4.39,0.29,7.78,0.52,-5.34,-0.36,4997.8,49.98
233,Exit long,2026-03-15 10:00,TP2,2117.98,6.4413,13497.74415,136.66,1.01,146.81,1.09,-48.04,-0.36,5138.51,51.39
233,Entry long,2026-03-15 03:00,IMP_L,2095.5,6.4413,13497.74415,136.66,1.01,146.81,1.09,-48.04,-0.36,5138.51,51.39
234,Exit short,2026-03-22 02:03,SL,2087.46,7.2663,15138.39143,-38.81,-0.26,270.12,1.78,-81.78,-0.54,5099.7,51.00
234,Entry short,2026-03-22 00:57,DLY_S,2083.37,7.2663,15138.39143,-38.81,-0.26,270.12,1.78,-81.78,-0.54,5099.7,51.00
235,Exit long,2026-03-25 14:57,CH_IN,2183.3,6.9053,15099.61235,-32.32,-0.21,68.87,0.46,-63.02,-0.42,5067.38,50.67
