strategy_name,regime,field,total_trades,known_count,unknown_count,coverage_rate,readiness_status,dominant_value,dominant_value_share,distribution_json,informational_only
BTP_BTC_1H,trend_up,funding_state,7,7,0,1.0,PASS,positive,0.7143,"{""positive"": 5, ""neutral"": 1, ""negative"": 1}",True
BTP_BTC_1H,trend_up,etf_flow_state,7,7,0,1.0,PASS,inflow,0.5714,"{""inflow"": 4, ""outflow"": 2, ""neutral"": 1}",True
BTP_ETH_30m,range,session,49,49,0,1.0,PASS,weekend,0.2857,"{""weekend"": 14, ""Asia"": 11, ""overlap"": 11, ""London"": 7, ""NY"": 6}",True
BTP_ETH_30m,range,structure_state,49,49,0,1.0,PASS,range,1.0,"{""range"": 49}",True
BTP_ETH_30m,range,volatility_state,49,49,0,1.0,PASS,low,0.4694,"{""low"": 23, ""high"": 13, ""medium"": 13}",True
BTP_ETH_30m,range,oi_state,49,49,0,1.0,PASS,flat,0.7347,"{""flat"": 36, ""rising"": 8, ""falling"": 5}",True
BTP_ETH_30m,range,funding_state,49,49,0,1.0,PASS,positive,0.8163,"{""positive"": 40, ""negative"": 9}",True
BTP_ETH_30m,range,etf_flow_state,49,49,0,1.0,PASS,neutral,0.3673,"{""neutral"": 18, ""inflow"": 16, ""outflow"": 15}",True
BTP_ETH_30m,trend_down,session,44,44,0,1.0,PASS,weekend,0.4091,"{""weekend"": 18, ""NY"": 11, ""London"": 6, ""Asia"": 5, ""overlap"": 4}",True
BTP_ETH_30m,trend_down,structure_state,44,44,0,1.0,PASS,trend_down,1.0,"{""trend_down"": 44}",True
BTP_ETH_30m,trend_down,volatility_state,44,44,0,1.0,PASS,low,0.5682,"{""low"": 25, ""high"": 12, ""medium"": 7}",True
BTP_ETH_30m,trend_down,oi_state,44,44,0,1.0,PASS,flat,0.6591,"{""flat"": 29, ""rising"": 13, ""falling"": 2}",True
BTP_ETH_30m,trend_down,funding_state,44,44,0,1.0,PASS,positive,0.75,"{""positive"": 33, ""negative"": 11}",True
BTP_ETH_30m,trend_down,etf_flow_state,44,44,0,1.0,PASS,outflow,0.4091,"{""outflow"": 18, ""neutral"": 16, ""inflow"": 10}",True
BTP_ETH_30m,trend_up,session,29,29,0,1.0,PASS,Asia,0.3793,"{""Asia"": 11, ""London"": 6, ""overlap"": 5, ""weekend"": 5, ""NY"": 2}",True
BTP_ETH_30m,trend_up,structure_state,29,29,0,1.0,PASS,trend_up,1.0,"{""trend_up"": 29}",True
BTP_ETH_30m,trend_up,volatility_state,29,29,0,1.0,PASS,high,0.5172,"{""high"": 15, ""medium"": 11, ""low"": 3}",True
BTP_ETH_30m,trend_up,oi_state,29,29,0,1.0,PASS,flat,0.6207,"{""flat"": 18, ""falling"": 8, ""rising"": 3}",True
BTP_ETH_30m,trend_up,funding_state,29,29,0,1.0,PASS,positive,0.8621,"{""positive"": 25, ""negative"": 4}",True
BTP_ETH_30m,trend_up,etf_flow_state,29,29,0,1.0,PASS,inflow,0.8276,"{""inflow"": 24, ""neutral"": 3, ""outflow"": 2}",True
